dim,max_fes,desv_rangos
10,5000,0.9166666666666666
10,50000,0.8047169964928319
10,500000,0.9166666666666666
10,5000000,0.7806247497997998
20,5000,0.5464532103585
20,50000,0.7637626158259734
20,500000,0.8364524958285305
20,5000000,0.8364524958285305
