,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,1.8947806286936004e-14,51.187345890863305,3.566645889305601e-14,103.4626711401559,0.022820926576962525,826420.078848939,3.8849249302655724,32.054108026792875,335.95331681334125,0.0,5.250929250313604,217.4900384172785,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.5,1.0,1.0,1.2083333333333333
de,43.37195572431158,64.26055455163336,0.001080475574502659,84.10791938071776,0.05738564608776976,881767.7685540083,9.366267819988257,18.965356578982092,353.2622037456224,3.738491517169437,30.98799510918953,221.20310038999648,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.9166666666666667
pso,13166.360791079169,499.4653454955809,0.4782401199368219,179.7857113889814,6.731156587468889,48658480.74639248,378.85295563252316,4449.678606415318,740.2010488772984,0.0,1367.2387387655492,334.477574514547,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,3.0,3.0,2.875
