,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,13.607901344500036,55.364259088656205,0.0006956915149671392,47.44694803989929,0.029405859888093605,173183.1416010771,2.7326599324175116,12.454932770993523,350.7331143237778,0.0,24.9509312949319,216.48262805054708,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.2083333333333333
de,43.37195572431157,64.24094254477603,0.001080475574502659,42.01036901145387,0.05738564608776976,104202.92699519466,7.29001576797009,16.60411310155082,353.2622037456224,3.738491517018327,30.98799510918953,220.9800437325959,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.9166666666666667
pso,10433.05238673267,437.81607974964004,0.49932319627262756,165.69233502772292,6.432216300506518,54756297.69674036,318.54930429864754,4807.791473463019,775.2805776346822,0.0,1367.9675760298608,332.23166629211033,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,3.0,3.0,2.875
