,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,0.0,6.4555942979633025,0.0,13.236100923323239,3.120815153142401e-14,1399.016987711668,7.576197546410296,7.433955887821653,205.4990972730867,0.0,3.9901842475094194,112.90633586254464,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0833333333333333
de,1.8131964483653513,8.775307172504396,0.0002874916288834249,12.08807864719459,0.0005250004590326332,2459.8698310437508,8.467593500084078,16.645314059925344,243.13712520607808,15.956096168403203,12.007501857136049,157.39148225309805,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
pso,822.8613681485803,111.63358446609193,0.0686097970641502,30.361430195201166,0.21081445509783486,1621894.1651714847,57.91343662695509,1116.4497571210406,454.915870930006,1.1424116485306477,279.00185662363884,168.05256085477185,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.9166666666666665
