algoritmo_a,algoritmo_b,rango_a,rango_b,z,p_crudo,divisor_shaffer,p_ajustado,significativo
middleware,pso,1.375,2.875,3.6742346141747673,0.00023856345402872847,3,0.0007156903620861854,True
pso,de,2.875,1.75,2.7556759606310752,0.005857099085284201,1,0.005857099085284201,True
middleware,de,1.375,1.75,0.9185586535436918,0.35832646674888036,1,0.35832646674888036,False
