dim,max_fes,middleware,pso,de
10,5000,2.0,2.9166666666666665,1.0833333333333333
10,50000,1.2916666666666667,2.875,1.8333333333333333
10,500000,1.0833333333333333,2.9166666666666665,2.0
10,5000000,1.375,2.875,1.75
20,5000,2.0833333333333335,2.5,1.4166666666666667
20,50000,1.3333333333333333,2.8333333333333335,1.8333333333333333
20,500000,1.2083333333333333,2.875,1.9166666666666667
20,5000000,1.2083333333333333,2.875,1.9166666666666667
