,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
de,339.31327659365996,15.808022944505321,0.0002875145586380777,54.0216105820022,0.007244780081439821,21521.498682051613,30.03778635118484,38.92406122948037,271.96253750073646,61.50733049774746,13.567564749063038,161.26216495742935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0833333333333333
middleware,1979.0839283617825,25.72687594907945,0.00030092251898515635,69.2792581861763,0.16196622719674086,54352.30517683387,45.43112618620489,62.08722820987595,310.923771215445,38.72050643082107,21.6563596645674,164.47974718822005,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0
pso,801.2309677492666,121.06787271859216,0.06951197032752615,83.84860764193351,0.6816864233836155,69825.36810291761,105.27785290619094,1246.6796078604252,464.9370631122988,126.05714427056849,281.2941149925253,174.01364022579565,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.9166666666666665
