,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
de,9333.874888816223,73.04616164231665,0.0011065123866541506,238.888355368178,0.45801817471773326,74541230.7015149,184.8255654856241,96156.37745857936,400.0279552206376,816.1718046338455,37.776055962453825,253.76590661833427,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.4166666666666667
middleware,21474.123204799016,125.27801511614969,0.005822624523034392,278.17259449476813,2.48337666997004,36075982.89955499,403.75492108127264,256015.05647086035,458.42092028886924,712.8326593903365,70.85488961443251,281.3738487704822,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0833333333333335
pso,16351.56114758634,433.60841477362186,0.42558487853331567,309.80018187713296,9.402492071864675,65269928.86623231,521.387627406736,5652.225204477463,774.7183546227905,681.6399082788652,1322.2641977956728,337.1459653301745,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.5
