algoritmo_a,algoritmo_b,rango_a,rango_b,z,p_crudo,divisor_shaffer,p_ajustado,significativo
middleware,pso,1.2916666666666667,2.875,3.8783587594066984,0.0001051635540336715,3,0.0003154906621010145,True
pso,de,2.875,1.8333333333333333,2.551551815399144,0.010724437603060188,1,0.010724437603060188,True
middleware,de,1.2916666666666667,1.8333333333333333,1.3268069440075545,0.18457255283988294,1,0.18457255283988294,False
