,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,21.48511456285087,54.5848923177438,0.0005191368198313962,170.09748350455087,0.026605683330698786,5982432.371777756,12.319042605462885,1468.4835276411134,337.81706305646367,43.39067551525879,12.610132318973807,225.82482394052423,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.3333333333333333
de,43.39925255636494,64.35158388365497,0.001080475574502659,150.97622495821727,0.058490388521127167,7061849.782009602,17.646932299935713,706.1222638889839,353.2653167423172,75.64670145222485,30.98907638025213,224.00206339904486,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.8333333333333333
pso,12101.932703434892,474.51299115451434,0.491856979374053,211.75660020498117,7.640363934277777,63850931.041433305,332.58947022631713,4558.271178213157,734.0661517337941,38.64351032713242,1360.9815922364037,336.2490529623498,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.8333333333333335
