,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,0.004044610899497644,9.880857550779613,0.0005692926850819204,9.54962890009721,0.0009913850522426562,2590.3399726837583,7.654872951614428,4.944174155134185,219.44886518909712,0.0,10.072341318791747,139.7099073507607,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.5,1.0,1.0,1.375
de,1.8131964483653513,8.676382524230915,0.0002874916288834249,9.781346656197474,0.0005250004590326332,2459.867690029148,8.467593500084078,16.337353992923212,243.13712520607808,15.956096168403203,12.007501857136049,157.3892592409334,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.75
pso,1154.675979471045,132.7625670280048,0.06429483848839534,24.07843137254902,0.3846803103931774,1624652.0705348172,67.07084347175957,998.7751659737623,462.8018430934053,0.0,277.89901356908354,165.8167104420122,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,3.0,3.0,2.875
