algoritmo,dim,max_fes,funcion,mean,median,std
de,10,5000,1,339.31327659365996,215.0001711183436,333.3424883240844
de,10,5000,2,15.808022944505321,9.857916965921333,15.302182642314582
de,10,5000,3,0.0002875145586380777,1.0863914212677628e-09,0.0019209072716084934
de,10,5000,4,54.0216105820022,54.19677667192332,13.877130816726595
de,10,5000,5,0.007244780081439821,0.0012972397671546787,0.014972552602398914
de,10,5000,6,21521.498682051613,19996.6404095014,10026.36601036568
de,10,5000,7,30.03778635118484,30.01427499940837,3.437461367843662
de,10,5000,8,38.92406122948037,28.646431723472688,61.138509347992986
de,10,5000,9,271.96253750073646,370.59223707509364,154.5772938417448
de,10,5000,10,61.50733049774746,0.0,93.93481417328736
de,10,5000,11,13.567564749063038,12.786560310863479,9.188899812553892
de,10,5000,12,161.26216495742935,161.82823332206135,4.880968275241645
de,10,50000,1,1.8131964483653535,4.927453971959039e-06,8.558563714377357
de,10,50000,2,8.83324434213898,8.916470667156204,8.698665789890011
de,10,50000,3,0.0002874916288834249,2.6147972675971687e-12,0.0019208921446496252
de,10,50000,4,23.0557985968067,22.960332766650822,4.991921603046954
de,10,50000,5,0.0005250004590437789,4.8477738232577394e-05,0.0014634980215800933
de,10,50000,6,2484.0453545699665,1702.7485136487721,3018.029939985777
de,10,50000,7,8.9116730704163,1.0574819924140684,10.073660493104876
de,10,50000,8,18.46980762872296,2.7846723914863105,54.69634072784222
de,10,50000,9,246.96876032145977,362.3053855744288,175.33569403015343
de,10,50000,10,16.60339029336443,0.0,48.70530259002331
de,10,50000,11,12.007501857136093,11.453204587647178,8.105455305408556
de,10,50000,12,157.54495268863536,158.35194761621278,5.772045559453445
de,10,500000,1,1.8131964483653513,4.927453971959039e-06,8.558563714377357
de,10,500000,2,8.775307172504396,8.916461505456027,8.714014822657125
de,10,500000,3,0.0002874916288834249,2.6147972675971687e-12,0.0019208921446496252
de,10,500000,4,12.08807864719459,12.099138320329757,2.6190967234943043
de,10,500000,5,0.0005250004590326332,4.8477738232577394e-05,0.001463498021580024
de,10,500000,6,2459.8698310437508,1691.9243090227492,3012.581532105687
de,10,500000,7,8.467593500084078,1.0022248058614878,9.876286904529866
