,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,error_medio,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,rango,resumen
funcion,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,rango_promedio
algoritmo,,,,,,,,,,,,,,,,,,,,,,,,,
middleware,0.008815608189243172,6.946526004971408,2.952607674695387e-09,28.938602179170843,5.798883336740568e-07,3024.705163086566,13.29149357659511,13.509734389144814,220.48693099840096,0.0,4.850691563677468,145.08858752931405,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.5,1.0,1.0,1.2916666666666667
de,1.8131964483653535,8.83324434213898,0.0002874916288834249,23.0557985968067,0.0005250004590437789,2484.0453545699665,8.9116730704163,18.46980762872296,246.96876032145977,16.60339029336443,12.007501857136093,157.54495268863536,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.8333333333333333
pso,792.5602094983309,133.40010887910157,0.07115608382073957,48.52153214636823,0.2898604268428391,1623972.3180456092,66.9012567580829,1014.269422785408,460.937922808522,0.0,279.4402318410723,166.993464959074,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.5,3.0,3.0,2.875
