funcion,mean,median,std,count
1,-43.94774695894767,0.0,1208.3583083047204,1785
2,0.36642312429676444,0.5730653844567297,1.4265836399106604,2589
3,0.14663959325684203,0.0,1.711143375150251,2459
4,0.9990331245706315,0.999999845670101,0.014005304783003252,1542
5,0.18470230041273666,0.0,0.9363777784351872,2144
6,0.7195232783509532,0.9994488836680027,0.4437900919277489,1454
7,-38.38041570722569,0.9883525271674896,1731.507129229069,1980
8,-71052.19217539948,0.9999596749595783,2818312.8146071658,2218
9,-142261106512.05347,0.6555930165578858,7611966290392.398,2863
10,0.6925580058681031,0.9809335718546172,0.41054091213704186,1439
11,-3.2940853114700066,0.0,99.9826372698329,2796
12,0.32750325376005407,0.8195031142889069,3.833236431897934,3039
