algoritmo_a,algoritmo_b,rango_a,rango_b,z,p_crudo,divisor_shaffer,p_ajustado,significativo
pso,de,2.9166666666666665,1.0833333333333333,4.490731195102493,7.0979083308664315e-06,3,2.1293724992599294e-05,True
middleware,pso,2.0,2.9166666666666665,2.2453655975512463,0.024744672046398852,1,0.024744672046398852,True
middleware,de,2.0,1.0833333333333333,2.2453655975512468,0.024744672046398852,1,0.024744672046398852,True
